titulo,descricao,fonte,data_publicacao,regiao,query_busca
GPS nacional? Governo vai discutir a ideia,"Brasil analisa criação de um sistema nacional de navegação por satélite como forma de reduzir dependência de tecnologias estrangeiras
O post GPS nacional? Governo vai discutir a ideia apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-22T12:58:49Z,Pernambuco,"""Lula"" AND Brasil"
Rumble e Trump Media acusam Moraes de tomar decisões ilegais,"Rumble e Trump Media apresentaram uma petição à Justiça dos Estados Unidos contra o ministro do STF Alexandre de Moraes
O post Rumble e Trump Media acusam Moraes de tomar decisões ilegais apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-14T14:41:56Z,Pernambuco,"""Lula"" AND Brasil"
"Tarifas de Trump são ideológicas e representam 'grande oportunidade' para Lula na eleição de 2026, diz analista","Christopher Garman, diretor da consultoria Eurasia Group, entende que Trump vê similaridades entre a situacão dele e a de Bolsonaro e usou tarifas para pressionar governo brasileiro em questões políticas.",BBC News,2025-07-10T16:46:57Z,Pernambuco,"""Lula"" AND Brasil"
Brasil pode compensar tarifas de Trump vendendo para China?,"A lista de produtos brasileiros exportados aos EUA é diversificada e tem desde produtos básicos como petróleo, suco de laranja e carne, a industrializados de alta tecnologia, como aviões. Com tarifa de 50% imposta pelo presidente americano, seria a China cand…",BBC News,2025-07-11T07:39:43Z,Pernambuco,"""Lula"" AND Brasil"
Como decisão de Trump de taxar Brasil em apoio a Bolsonaro pode beneficiar Lula,"Para analistas, tarifa de 50% sobre produtos brasileiros pode fortalecer nacionalismo e apoio ao governo.",BBC News,2025-07-10T07:08:35Z,Pernambuco,"""Lula"" AND Brasil"
"""Vai piorar antes de melhorar"", diz brasilianista sobre crise entre Brasil e EUA","Para Brian Winter, governo Trump poderá impor mais medidas contra o Brasil e cenário tende a esquentar caso Bolsonaro seja preso",BBC News,2025-07-21T07:59:14Z,Pernambuco,"""Lula"" AND Brasil"
Lula e Milei em reunião do Mercosul: uma história de discórdia e farpas em 4 pontos,"Presidente brasileiro viaja pela primeira vez à Argentina desde que Javier Milei tomou posse, em meio a rusgas ideológicas e convergências de interesses.",BBC News,2025-07-03T07:36:11Z,Pernambuco,"""Lula"" AND Brasil"
Trump acusa Brasil de fazer 'caça às bruxas' contra Bolsonaro: 'Deixem ele em paz',"Em postagem nas redes sociais, Trump disse que há uma perseguição contra Bolsonaro em meio a julgamento por suposta tentativa de golpe: "" Estarei assistindo à caça às bruxas de Jair Bolsonaro, sua família e milhares de seus apoiadores muito de perto""",BBC News,2025-07-07T16:14:41Z,Pernambuco,"""Lula"" AND Brasil"
"'Com cerco a Bolsonaro e sanções contra Moraes, margem para negociação entre Brasil e EUA é mínima'","Para Guilherme Casarões, da FGV, perspectiva de que tarifas de 50% sejam efetivadas em 1º de agosto aumentou e país vive 'tentativa sem precedentes de interferência norte-americana no funcionamento da democracia brasileira'.",BBC News,2025-07-19T10:54:36Z,Pernambuco,"""Lula"" AND Brasil"
A dura carta de Trump a Lula: 'Julgamento de Bolsonaro não deveria estar acontecendo. Parem imediatamente',"Trump anunciou nova tarifa de 50% ao Brasil em mensagem com tom bem acima do adotado com outros líderes globais, disse que decisão se deu, em parte, por 'caça às bruxas' a Bolsonaro e pediu investigação contra governo brasileiro por 'ataques' aos EUA e empres…",BBC News,2025-07-09T23:08:18Z,Pernambuco,"""Lula"" AND Brasil"
